review_id,neg,neu,pos,compound,stars,product_category,review_text,original_text
de_0995433,0.21,0.79,0.0,-0.6093,1,kitchen,"Very short lifetime!!! : After less than a year and extremely moderate use, the popcorn machine has broken.",Sehr kurze Lebenszeit!!! : Nach nicht mal einem Jahr und dabei äußerst mäßiger Benutzung ist die Popcorn-Maschine kaputt gegangen.
de_0766742,0.425,0.469,0.106,-0.7021,1,furniture,"Not to be recommended: was delivered broken, Very unstable, not recommended, problems due to return","Nicht zu empfehlen : wurde kaputt geliefert , Sehr instabil, nicht empfehlenswert, Probleme wegen Rücksendung"
de_0553683,0.0,0.884,0.116,0.5499,1,beauty,Never arrived : In my order details it says that I would have received this item on November 5. But how did the 24. November and I definitely NOT received it,"Nie angekommen : In meinen Bestelldetails steht, dass ich diesen Artikel am 5. November erhalten hätte. Aber wie haben nun den 24. November und ich habe es definitiv NICHT erhalten"
de_0649392,0.22,0.78,0.0,-0.4767,1,home,Unusable : The nail board arrived broken and was not to be used.,Unbrauchbar : Das Nagelbrett kam kaputt an und war nicht zu gebrauchen.
de_0916834,0.0,0.551,0.449,0.5975,1,toy,Was not bad : Unfortunately not kept for long,War nicht schlecht : Leider nicht lange gehalten
de_0248858,0.118,0.882,0.0,-0.4939,1,office_product,Extremely long delivery time : Delivery time is catastrophic. Wait for a few weeks already and the delivery is still not there. Seller only writes back partially.,Extrem lange Lieferzeit : Lieferzeit ist katastrophal. Warte seit einigen Wochen schon darauf und die Lieferung ist immer noch nicht da. Verkäufer schreibt nur teilweise zurück.
de_0100868,0.0,1.0,0.0,0.0,1,home,Delivery time : Goods not received,Lieferzeit : Ware noch nicht erhalten
de_0056590,0.423,0.577,0.0,-0.5267,1,automotive,No delivery to date. : No delivery to date.,Bis heute keine Lieferung. : Bis heute keine Lieferung.
de_0938117,0.605,0.395,0.0,-0.802,1,wireless,Unfortunately no product was received. : Unfortunately no product was received.,Leider keinen Artikel erhalten. : Leider keinen Artikel erhalten.
de_0425907,0.398,0.602,0.0,-0.8979,1,wireless,Wrong color! : Angry way the pink is not pink but an ugly pale orange. Not like in the photo! I will exchange again,Falsche Farbe! : Ärgerlicher Weise ist das Pink kein pink sondern ein unschönes blasses Orange. Nicht wie auf dem Foto! Werde ich wieder umtauschen
