id,neg,neu,pos,compound,date,renderedContent,likeCount,retweetCount,replyCount,inReplyToTweetId,hashtags
1644374392775004160,0.0,1.0,0.0,0.0,2023-04-07 16:19:40+00:00,"Last year\, I was hearing all #SharkTankIndia talks in Indian cafe and now it’s all about #ChatGPT   Talks and Trends move ON.!  @OpenAI #AI @sharktankindia #Trending",0,0,0,,"['SharkTankIndia', 'ChatGPT', 'AI', 'Trending']"
1644374378032041985,0.17,0.83,0.0,-0.4404,2023-04-07 16:19:37+00:00,Stop shaking your phones – this is why it makes a rattling sound dlvr.it/Sm87FJ #digitalhealth #socialmedia #digitalmarketing #healthtech #industry40 #IoT #mhealth #AI https://t.co/pVTEORFX0T,0,0,0,,"['digitalhealth', 'socialmedia', 'digitalmarketing', 'healthtech', 'industry40', 'IoT', 'mhealth', 'AI']"
1644374372306800642,0.197,0.803,0.0,-0.6341,2023-04-07 16:19:36+00:00,i think chat gpt is getting dumb day by day !!!  is it only me thinking this  #ChatGPT  #OpenAI,0,0,0,,"['ChatGPT', 'OpenAI']"
1644374368678739974,0.124,0.876,0.0,-0.34,2023-04-07 16:19:35+00:00,YouTube isn’t warning some viewers about incoming ads dlvr.it/Sm87BP #digitalhealth #socialmedia #digitalmarketing #industry40 #IoT #mhealth #AI #healthtech https://t.co/85Iv1uFTF9,0,0,0,,"['digitalhealth', 'socialmedia', 'digitalmarketing', 'industry40', 'IoT', 'mhealth', 'AI', 'healthtech']"
1644374337464442881,0.0,0.747,0.253,0.8587,2023-04-07 16:19:27+00:00,In my dream last night I was amazing at playing piano and singing (I’m average IRL). But in the dream the lyrics and music were more like something AI generates. Makes me wonder more about simulation theory. #AI #Consciousness #UFOTwitter,0,0,0,,"['AI', 'Consciousness', 'UFOTwitter']"
1644374301674467329,0.0,0.921,0.079,0.2023,2023-04-07 16:19:19+00:00,This is why Adobe Firefly is going to come out on top when all is said and done. #AI #GenerativeAI #AIArtwork  arstechnica.com/tech-policy/20…,0,0,0,,"['AI', 'GenerativeAI', 'AIArtwork']"
1644374301309800448,0.0,0.66,0.34,0.8316,2023-04-07 16:19:19+00:00,"To solve human verification loop on ChatGPT: clear cache/cookies\, use different browser/device\, watch bypass tutorial or contact OpenAI support for help. #ChatGPT  openaimaster.com/chatgpt-verify…",0,0,0,,['ChatGPT']
1644374262277369857,0.0,1.0,0.0,0.0,2023-04-07 16:19:09+00:00,Working with Adaboost part1(Machine Learning) medium.com/@monocosmo77/w… #AI #MachineLearning #DataScience #ArtificialIntelligence  Trending AI/ML Article Identified &amp; Digested via Granola; a Machine-Driven RSS Bot by Ramsey Elbasheer https://t.co/k63VwGY1fy,1,1,0,,"['AI', 'MachineLearning', 'DataScience', 'ArtificialIntelligence']"
1644374231059136521,0.0,1.0,0.0,0.0,2023-04-07 16:19:02+00:00,#GenerativeAI Timeline: 9 Decades of Notable Milestones  #GAI #marketers #CustomerExperience #CX #ArtificialGeneralIntelligence #AGI   #ArtificialIntelligence #AI #ML #MachineLearning #DeepLearning #DL #Tech #Technology #Algorithm #Data #NeuralNetwork   buff.ly/3KB0nyx https://t.co/C4hT9pTM1k,1,0,0,,"['GenerativeAI', 'GAI', 'marketers', 'CustomerExperience', 'CX', 'ArtificialGeneralIntelligence', 'AGI', 'ArtificialIntelligence', 'AI', 'ML', 'MachineLearning', 'DeepLearning', 'DL', 'Tech', 'Technology', 'Algorithm', 'Data', 'NeuralNetwork']"
1644374219977900033,0.0,0.757,0.243,0.8126,2023-04-07 16:18:59+00:00,Another fascinating conversation on #AI #alignment. Thinking in terms of an entity in a box seeing the outside as super slow is so insightful. youtube.com/watch?v=AaTRHF… @lexfridman,2,0,0,,"['AI', 'alignment']"
1644374187677716480,0.245,0.755,0.0,-0.8439,2023-04-07 16:18:51+00:00,"Fight fake news with FactCheckAI\, the @OpenAI API based fake news detection checker! Built with @nuxt_js  @tailwindcss \, @typescript\, and @vercel. Try it here:  bit.ly/4399zS4  #OpenAI #FakeNews #Nuxt3  #ChatGPT #FACTCHECK https://t.co/FWdm4RPYmm",0,0,0,,"['OpenAI', 'FakeNews', 'Nuxt3', 'ChatGPT', 'FACTCHECK']"
1644374180190666754,0.0,0.824,0.176,0.5994,2023-04-07 16:18:50+00:00,"Faith of the Fungi\, a new religion for #trans folks. Brought to you by the new mystic\, #AI.  The essence and energy of the creator. https://t.co/TVSmvmOVby",1,0,0,,"['trans', 'AI']"
1644374116915466241,0.0,0.954,0.046,0.1036,2023-04-07 16:18:35+00:00,@WallStreetSilv I use #chatgpt  for my tasks  it has almost increased my productivity by 3 or 4 times  but its a bit buggy  where  I have to make some minor tweaks  to be fully functional.,0,0,0,1.64411169917841e+18,['chatgpt']
1644374069092007937,0.0,1.0,0.0,0.0,2023-04-07 16:18:23+00:00,A.I Art Work 15327 000003.3761208865 #aiart #art #aai #digitalart #artificialintelligence #machinelearning #aiartcommunity #aiartists #neuralnetworks #ganart #neuralnetworkart #modernart #stylegan #abstract #artist #nftart #scifi #aiartcommunity #midjourney #ai #abstractart https://t.co/OXCyCVWOvi,1,0,0,,"['aiart', 'art', 'aai', 'digitalart', 'artificialintelligence', 'machinelearning', 'aiartcommunity', 'aiartists', 'neuralnetworks', 'ganart', 'neuralnetworkart', 'modernart', 'stylegan', 'abstract', 'artist', 'nftart', 'scifi', 'aiartcommunity', 'midjourney', 'ai', 'abstractart']"
1644374033151012874,0.241,0.717,0.042,-0.875,2023-04-07 16:18:15+00:00,#AI is going to create a fraudulent marketplace already inundated with massive frauds.   @SpeakerMcCarthy #Congress should pass laws to make it criminal to use #AI to produce #Ads or promotional items that are different from actual products by any measures. No artificial…,1,0,0,,"['AI', 'Congress', 'AI', 'Ads']"
1644374007116857351,0.0,1.0,0.0,0.0,2023-04-07 16:18:08+00:00,"GM Skelaz! ☀️💀☀️  Rise up\, les get it!   Digital Neon Skelaz  ""HighTable Skela Skull"" (Legendary) #AIArtwork #AI #NFTs #Web3 https://t.co/0bScyEq6ty",1,0,0,,"['AIArtwork', 'AI', 'NFTs', 'Web3']"
